TIME,LAT,LONG,VAL
67.6,36.07379229,-79.7753906,149
67.7,36.07379491,-79.77539028,149
67.8,36.07379751,-79.77538999,149
67.9,36.07380008,-79.77538971,149
68,36.07380263,-79.77538942,149
68.1,36.07380515,-79.77538913,149
68.2,36.07380765,-79.77538882,149
68.3,36.07381013,-79.7753885,149
68.4,36.07381261,-79.77538816,149
68.5,36.07381508,-79.7753878,149
68.6,36.07381755,-79.77538742,149
68.7,36.07382003,-79.77538703,149
68.8,36.07382252,-79.77538663,149
68.9,36.07382504,-79.77538624,149
69,36.07382758,-79.77538586,149
69.1,36.07383016,-79.7753855,149
69.2,36.07383278,-79.77538516,149
69.3,36.07383543,-79.77538484,149
69.4,36.07383811,-79.77538454,149
69.5,36.07384081,-79.77538426,149
69.6,36.07384354,-79.775384,149
69.7,36.07384628,-79.77538374,149
69.8,36.07384903,-79.77538349,149
69.9,36.07385179,-79.77538324,149
70,36.07385456,-79.77538299,149
70.1,36.07385732,-79.77538273,149
70.2,36.0738601,-79.77538248,149
70.3,36.07386288,-79.77538221,149
70.4,36.07386567,-79.77538194,149
70.5,36.07386846,-79.77538167,149
70.6,36.07387126,-79.77538139,149
70.7,36.07387404,-79.77538112,149
70.8,36.07387682,-79.77538084,149
70.9,36.07387959,-79.77538057,149
71,36.07388236,-79.7753803,149
71.1,36.07388511,-79.77538003,149
71.2,36.07388787,-79.77537975,149
71.3,36.07389063,-79.77537947,149
71.4,36.0738934,-79.77537918,149
71.5,36.07389617,-79.77537888,149
71.6,36.07389895,-79.77537856,149
71.7,36.07390173,-79.77537823,149
71.8,36.07390451,-79.77537788,149
71.9,36.07390728,-79.77537753,149
72,36.07391005,-79.77537716,149
72.1,36.07391283,-79.77537678,149
72.2,36.07391562,-79.7753764,149
72.3,36.07391842,-79.77537601,149
72.4,36.07392124,-79.77537562,149
72.5,36.07392407,-79.77537522,149
72.6,36.07392692,-79.77537481,149
72.7,36.07392977,-79.7753744,149
72.8,36.07393262,-79.77537399,149
72.9,36.07393545,-79.77537358,149
73,36.07393828,-79.77537318,149
73.1,36.07394109,-79.77537278,149
73.2,36.07394388,-79.77537239,149
73.3,36.07394666,-79.77537201,149
73.4,36.07394943,-79.77537164,149
73.5,36.07395219,-79.77537128,149
73.6,36.07395493,-79.77537093,149
73.7,36.07395768,-79.77537059,149
73.8,36.07396041,-79.77537027,149
